Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2006.551,2,2,17,1.011,0.000%,6.978,67.513,3.0,10733.32
Login Action,2003.546,9,8,24,1.011,0.000%,6.978,69.529,13.0,11093.171
Homepage [0],2003.546,3,2,12,1.011,0.000%,6.978,63.483,7.0,10180.803
Browse (Green tea),2001.543,7,6,20,1.011,0.000%,6.978,697.298,7.0,111067.289
Add to cart (Green tea),1999.539,14,12,29,2.021,0.000%,6.978,204.554,17.001,32576.122
View cart (Green tea),1999.539,11,10,23,1.011,0.000%,6.978,198.508,8.001,31526.135
Browse (Herbal tea),1989.521,8,6,23,1.011,0.000%,6.978,999.595,8.001,159689.872
Add to cart (Herbal tea),1985.514,15,13,29,2.021,0.000%,6.978,208.585,19.001,33299.9
View cart (Herbal tea),1985.514,12,11,24,1.011,0.000%,6.978,200.523,9.0,32126.564
Browse (White tea),1978.502,8,6,23,1.011,0.000%,6.978,741.634,9.0,118885.109
Add to cart (White tea),1975.496,15,14,29,2.021,0.000%,6.978,212.615,20.001,34022.659
View cart (White tea),1975.496,13,11,27,1.011,0.000%,6.978,204.554,10.0,32725.975
"Browse (Black tea, 1) [0]",1975.496,8,6,22,1.011,0.000%,6.978,646.915,10.0,103502.28
"Browse (Black tea, 2)",1975.496,8,6,20,1.011,0.000%,6.978,675.129,10.0,108119.168
"Browse (Black tea, 3)",1972.491,8,6,23,1.011,0.000%,6.978,685.206,10.0,109821.575
"Browse (Black tea, 1) [1]",1970.488,8,6,25,1.011,0.000%,6.978,645.907,10.0,103498.202
Add to cart (Black tea),1970.488,16,14,32,2.021,0.000%,6.978,216.646,22.001,34739.301
View cart (Black tea),1970.488,13,12,28,1.011,0.000%,6.978,207.577,10.0,33321.308
Checkout,1960.47,8,6,21,1.011,0.000%,6.978,93.712,23.001,14940.407
Order,1960.47,3,2,12,1.011,0.000%,6.978,84.643,10.0,13588.676
Add order details,1959.469,25,21,42,2.021,0.000%,6.978,69.529,20.001,11113.559
Homepage [1],1959.469,3,2,13,1.011,0.000%,6.978,63.483,7.0,10194.055
Logout,1955.461,4,3,19,1.011,0.000%,6.978,71.543,16.0,11486.661
Homepage [2],1955.461,3,2,13,1.011,0.000%,6.978,62.475,7.0,9956.534
TOTAL,47490.056,9,2,42,5.054,0.000%,155.513,7329.688,282.014,49305.587
