Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,14069,3,2,22,0.846,0.323%,43.152,421.852,6.877,9031.644
List Products,14380,10,6,31,1.356,0.170%,46.078,5335.839,7.854,116282.292
Look at Product,13916,16,12,46,1.925,0.331%,44.359,4770.908,7.187,104610.323
Login,14179,10,7,24,1.278,0.388%,46.504,458.731,18.994,9887.141
Add Product to Cart,14298,8,5,22,1.537,0.121%,44.316,477.105,19.088,10539.543
Add n Products to Cart,213181,9,5,35,1.632,0.254%,672.062,7454.343,286.859,10539.149
Checkout 1,13828,5,3,13,0.967,0.166%,44.577,462.943,28.492,10325.423
Checkout 5,14190,5,3,14,0.926,0.393%,44.634,450.722,33.024,10325.324
Checkout 15,14468,4,3,14,0.935,0.051%,43.237,454.82,45.049,10325.423
TOTAL,331617,8,2,44,2.89,0.319%,1015.6,19631.913,450.302,19107.604
