Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,1863,2,2,18,0.837,0.483%,6.145,61.627,2.801,10301.248
Login Action,1909,9,9,25,1.173,0.458%,6.344,59.613,11.674,10646.52
Homepage [0],1843,3,2,12,0.686,0.095%,6.023,56.096,6.691,9770.75
Browse (Green tea),1851,8,6,19,1.046,0.067%,6.289,648.158,6.62,106592.004
Add to cart (Green tea),1895,15,12,30,1.56,0.333%,6.291,175.632,15.175,31263.519
View cart (Green tea),1890,12,9,23,1.336,0.258%,6.194,176.298,7.044,30256.006
Browse (Herbal tea),1887,8,6,23,1.276,0.397%,6.308,903.492,7.13,153255.171
Add to cart (Herbal tea),1839,16,13,29,1.603,0.248%,5.883,182.013,16.356,31958.494
View cart (Herbal tea),1885,12,10,24,1.437,0.353%,6.276,186.004,7.932,30831.929
Browse (White tea),1821,8,6,23,1.267,0.285%,5.94,644.624,8.094,114094.415
Add to cart (White tea),1887,16,14,30,1.659,0.045%,5.926,186.189,17.964,32651.556
View cart (White tea),1823,14,10,27,1.45,0.339%,6.293,176.537,8.984,31407.349
"Browse (Black tea, 1) [0]",1903,9,6,22,1.194,0.498%,5.959,583.302,8.85,99331.626
"Browse (Black tea, 2)",1823,8,6,19,1.098,0.428%,6.28,602.346,9.126,103762.648
"Browse (Black tea, 3)",1862,8,7,24,1.087,0.386%,6.218,617.023,9.07,105396.848
"Browse (Black tea, 1) [1]",1835,9,6,26,1.354,0.427%,5.895,555.849,8.897,99328.0
Add to cart (Black tea),1854,18,13,34,1.543,0.130%,6.013,193.319,19.591,33339.884
View cart (Black tea),1828,13,12,28,1.477,0.372%,6.036,191.934,9.701,31979.042
Checkout,1841,9,6,21,1.124,0.067%,6.041,83.78,20.483,14338.753
Order,1813,3,2,12,0.647,0.115%,6.353,73.459,8.974,13040.861
Add order details,1880,25,21,44,2.512,0.401%,5.947,63.847,17.848,10665.657
Homepage [1],1883,3,2,12,0.744,0.224%,5.974,55.045,6.292,9783.139
Logout,1876,4,3,18,0.908,0.326%,6.314,63.771,13.882,11024.224
Homepage [2],1849,3,2,12,0.744,0.219%,5.896,55.231,6.51,9555.308
TOTAL,43668,10,2,43,5.57,0.347%,140.339,6628.603,241.853,47318.861
