Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,391,3,2,17,1.059,0.000%,1.276,13.035,0.609,10272.778
Login Action,390,11,9,22,1.451,0.000%,1.274,13.45,2.385,10617.099
Homepage [0],390,3,2,7,0.706,0.000%,1.274,12.348,1.357,9742.737
Browse (Green tea),389,9,7,15,1.118,0.000%,1.274,134.681,1.387,106295.842
Add to cart (Green tea),389,16,13,28,1.648,0.000%,1.274,39.5,3.234,31177.22
View cart (Green tea),389,12,10,19,1.295,0.000%,1.274,38.226,1.547,30172.08
Browse (Herbal tea),388,9,8,19,1.236,0.000%,1.281,194.679,1.557,152833.514
Add to cart (Herbal tea),388,17,14,32,1.981,0.000%,1.281,40.582,3.563,31870.281
View cart (Herbal tea),388,13,11,20,1.432,0.000%,1.281,39.156,1.707,30745.713
Browse (White tea),388,9,6,21,1.451,0.000%,1.28,144.854,1.707,113777.591
Add to cart (White tea),388,17,14,29,1.785,0.000%,1.28,41.442,3.853,32561.535
View cart (White tea),388,13,11,19,1.187,0.000%,1.28,39.864,1.856,31320.251
"Browse (Black tea, 1) [0]",388,9,7,14,1.128,0.000%,1.281,126.156,1.856,99055.961
"Browse (Black tea, 2)",387,9,7,21,1.187,0.000%,1.279,131.566,1.876,103473.977
"Browse (Black tea, 3)",386,9,7,15,1.079,0.000%,1.28,133.73,1.886,105104.68
"Browse (Black tea, 1) [1]",386,9,7,14,0.991,0.000%,1.279,126.004,1.886,99053.35
Add to cart (Black tea),386,18,14,30,1.883,0.000%,1.28,42.322,4.142,33247.766
View cart (Black tea),386,14,12,28,1.599,0.000%,1.28,40.592,2.006,31888.863
Checkout,383,9,7,20,1.353,0.000%,1.268,18.021,4.302,14297.456
Order,383,3,1,9,0.804,0.262%,1.268,16.362,1.946,12976.421
Add order details,381,27,22,42,2.599,0.000%,1.266,13.389,3.763,10636.183
Homepage [1],381,3,2,13,1,0.000%,1.266,12.287,1.357,9756.297
Logout,381,6,4,11,0.991,0.000%,1.268,13.864,2.944,10993.863
Homepage [2],381,3,2,12,0.922,0.000%,1.268,12.014,1.337,9528.49
TOTAL,9265,11,1,42,5.767,0.011%,30.223,1419.74,53.347,47240.978
