Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,22228,65,2,155,17.999,0.033%,71.282,651.858,11.075,9259.784
List Products,22220,124,5,343,32.999,0.038%,71.282,8384.621,12.082,119166.132
Look at Product,22211,223,13,474,81.998,0.129%,71.282,7539.62,11.075,107194.533
Login,22182,101,8,218,25.999,0.033%,71.282,728.311,30.203,10368.356
Add Product to Cart,22174,126,4,251,31,0.043%,71.282,758.489,30.203,10806.859
Add n Products to Cart,331476,126,1,315,30,0.039%,1059.46,11345.142,444.994,10806.859
Checkout 1,22037,95,4,195,24.999,0.024%,70.305,739.376,44.298,10588.1
Checkout 5,22032,95,4,230,24.999,0.034%,70.305,739.376,53.359,10587.114
Checkout 15,22024,95,5,179,24.999,0.038%,70.305,738.369,72.488,10587.114
TOTAL,508583,122,1,474,42.999,0.041%,1624.832,31621.136,709.776,19635.038
