Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,14672,3,2,21,0.80,0.000%,48.67610,436.10,7.18,9174.2
List Products,14672,9,6,29,1.30,0.000%,48.67740,5614.91,8.41,118117.7
Look at Product,14672,16,11,41,1.73,0.000%,48.67643,5051.20,7.83,106261.5
Login,14672,10,7,22,1.15,0.000%,48.67675,477.41,20.45,10043.2
Add Product to Cart,14672,8,5,21,1.44,0.000%,48.67659,508.91,20.19,10705.9
Add n Products to Cart,220008,9,5,33,1.51,0.005%,729.92207,7631.05,302.78,10705.5
Checkout 1,14662,5,3,12,0.93,0.000%,48.67490,498.56,30.37,10488.4
Checkout 5,14662,5,3,13,0.86,0.000%,48.67490,498.55,36.13,10488.3
Checkout 15,14662,4,3,13,0.86,0.000%,48.67442,498.55,49.43,10488.4
TOTAL,337354,8,2,41,2.73,0.003%,1118.97441,21209.37,482.59,19409.2
