Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,8148,3,2,24,1.033,0.000%,28.264,276.37,12.528,10545.342
Login Action,8141,10,7,45,2.066,0.013%,28.264,285.791,50.113,10897.893
Homepage [0],8140,3,2,21,1.033,0.000%,28.264,261.713,29.233,10002.475
Browse (Green tea),8133,9,6,48,2.066,0.000%,28.264,2858.958,29.233,109108.932
Add to cart (Green tea),8126,16,12,62,4.132,0.013%,28.264,838.53,68.906,31998.978
View cart (Green tea),8125,13,3,51,3.1,0.026%,28.264,811.312,33.409,30965.243
Browse (Herbal tea),8105,9,1,67,2.066,0.013%,28.264,4100.526,32.365,156854.164
Add to cart (Herbal tea),8099,17,12,74,4.132,0.026%,28.264,854.232,75.17,32707.2
View cart (Herbal tea),8097,14,10,65,3.1,0.000%,28.264,823.873,35.497,31561.148
Browse (White tea),8078,9,6,35,2.066,0.000%,28.264,3051.579,35.497,116788.104
Add to cart (White tea),8067,18,13,71,4.132,0.000%,28.264,873.076,81.434,33423.742
View cart (White tea),8067,15,10,60,4.132,0.000%,28.264,840.624,38.629,32149.774
"Browse (Black tea, 1) [0]",8059,9,6,47,2.066,0.013%,28.264,2655.868,38.629,101664.794
"Browse (Black tea, 2)",8052,9,6,46,2.066,0.000%,27.217,2773.116,39.673,106213.642
"Browse (Black tea, 3)",8040,9,6,34,2.066,0.000%,27.217,2814.99,39.673,107886.962
"Browse (Black tea, 1) [1]",8034,9,6,37,2.066,0.000%,27.217,2650.634,39.673,101675.193
Add to cart (Black tea),8029,18,13,70,4.132,0.039%,27.217,888.779,86.654,34116.365
View cart (Black tea),8024,16,11,62,4.132,0.026%,27.217,852.14,41.761,32726.96
Checkout,7967,9,5,43,2.066,0.013%,27.217,382.102,90.83,14677.162
Order,7966,3,2,20,1.033,0.000%,27.217,347.556,41.761,13350.153
Add order details,7959,28,10,89,5.166,0.013%,27.217,283.698,79.346,10917.653
Homepage [1],7958,3,2,22,1.033,0.000%,27.217,260.667,29.233,10014.955
Logout,7941,5,3,26,1.033,0.026%,27.217,293.118,62.641,11283.724
Homepage [2],7938,3,2,21,1.033,0.000%,27.217,254.386,28.189,9782.001
TOTAL,193295,11,1,89,7.232,0.009%,660.528,30132.641,1132.764,48483.614
