Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,21105,15,2,43,3.675,0.000%,70.091,636.499,10.184,9175.86
List Products,21105,33,3,73,6.638,0.024%,70.092,8196.535,11.93,118159.974
Look at Product,21100,62,1,114,12.546,0.033%,70.078,7375.352,11.106,106343.467
Login,21093,29,8,68,5.387,0.009%,70.059,696.496,29.031,10045.341
Add Product to Cart,21091,29,5,63,5.908,0.000%,70.055,742.389,28.619,10707.904
Add n Products to Cart,316208,30,2,77,5.908,0.009%,1050.29,11129.566,429.116,10707.204
Checkout 1,21062,21,3,49,4.646,0.005%,69.979,726.479,43.012,10489.683
Checkout 5,21061,21,3,52,4.696,0.009%,69.978,726.438,51.155,10489.383
Checkout 15,21059,21,2,52,4.696,0.014%,69.971,726.348,69.992,10488.983
TOTAL,484884,29,1,114,10.343,0.010%,1610.27,30951.992,683.968,19422.12
