Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,426,3,2,18,1.069,0.000%,1.03,13.193,1.002,10347.959
Login Action,425,11,9,24,2.137,0.000%,1.03,13.193,2.004,10694.683
Homepage [0],425,3,2,7,1.069,0.000%,1.03,12.177,1.002,9813.682
Browse (Green tea),424,9,7,16,1.069,0.000%,1.03,134.966,1.002,107072.541
Add to cart (Green tea),424,17,13,30,2.137,0.000%,1.03,39.576,3.005,31404.796
View cart (Green tea),424,12,10,20,1.069,0.000%,1.03,38.562,2.004,30392
Browse (Herbal tea),423,9,8,20,1.069,0.000%,1.03,194.838,2.004,153949.093
Add to cart (Herbal tea),423,18,14,33,2.137,0.000%,1.03,40.591,4.007,32103.311
View cart (Herbal tea),423,13,11,21,1.069,0.000%,1.03,39.576,2.004,30969.87
Browse (White tea),423,9,6,22,2.137,0.000%,1.03,145.113,2.004,114608.191
Add to cart (White tea),423,18,14,30,2.137,0.000%,1.03,41.606,4.007,32799.798
View cart (White tea),423,13,11,20,1.069,0.000%,1.03,39.576,2.004,31548.756
"Browse (Black tea, 1) [0]",423,9,7,15,1.069,0.000%,1.03,125.833,2.004,99779.19
"Browse (Black tea, 2)",422,9,7,22,1.069,0.000%,1.03,131.922,2.004,104229.817
"Browse (Black tea, 3)",421,9,7,16,1.069,0.000%,1.03,133.95,2.004,105872.19
"Browse (Black tea, 1) [1]",421,9,7,15,1.069,0.000%,1.03,125.833,2.004,99777.164
Add to cart (Black tea),421,19,14,31,2.137,0.000%,1.03,42.621,4.007,33490.203
View cart (Black tea),421,15,12,30,2.137,0.000%,1.03,40.591,2.004,32121.559
Checkout,417,9,7,21,1.069,0.000%,1.03,18.267,4.007,14402.187
Order,417,3,1,9,1.069,0.262%,1.03,16.236,2.004,13071.054
Add order details,414,27,22,44,3.207,0.000%,1.03,13.193,4.007,10713.946
Homepage [1],414,3,2,14,1.069,0.000%,1.03,12.177,1.002,9827.875
Logout,414,6,4,11,1.069,0.000%,1.03,14.208,3.005,11073.848
Homepage [2],414,3,2,13,1.069,0.000%,1.03,12.177,1.002,9597.74
TOTAL,10087,11,1,44,6.413,0.011%,31.915,1420.691,55.098,47586.219
