Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,15171,3,2,23,1.039,0.000%,49.594,447.659,7.101,9859.056
List Products,15171,9,6,32,1.039,0.000%,49.594,5769.714,9.13,126941.048
Look at Product,15171,16,11,44,2.078,0.000%,49.594,5190.809,8.116,114199.349
Login,15171,10,7,24,1.039,0.000%,49.594,490.39,21.303,10793.322
Add Product to Cart,15171,8,5,23,2.078,0.000%,49.594,522.947,21.303,11505.689
Add n Products to Cart,227483,9,5,36,2.078,0.005%,748.063,7841.154,319.562,11505.689
Checkout 1,15160,5,3,12,1.039,0.000%,49.594,512.773,32.463,11272.381
Checkout 5,15160,5,3,13,1.039,0.000%,49.594,512.773,38.55,11271.344
Checkout 15,15160,4,3,13,1.039,0.000%,49.594,512.773,51.739,11272.381
TOTAL,348816,8,2,44,3.116,0.003%,1146.893,21793.87,508.254,20858.727
