Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,21634,15,2,43,3.634,0.000%,71.362,635.73,10.513,9090.114
List Products,21634,34,3,73,6.565,0.024%,71.363,8186.626,12.316,117055.799
Look at Product,21629,62,1,115,12.407,0.033%,71.349,7366.436,11.465,105349.714
Login,21621,30,8,68,5.327,0.009%,71.33,695.654,29.969,9951.47
Add Product to Cart,21619,30,5,63,5.842,0.000%,71.325,741.492,29.543,10607.841
Add n Products to Cart,324125,31,2,77,5.842,0.009%,1069.339,11116.112,442.975,10607.147
Checkout 1,21589,21,3,49,4.595,0.005%,71.248,725.601,44.401,10391.66
Checkout 5,21588,21,3,52,4.644,0.009%,71.247,725.56,52.807,10391.362
Checkout 15,21586,21,2,52,4.644,0.014%,71.24,725.47,72.253,10390.966
TOTAL,497025,30,1,115,10.229,0.010%,1639.475,30914.576,706.058,19240.626
