Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7532,3,2,25,1.181,0.067%,24.959,234.995,11.703,10299.004
Login Action,7786,11,7,47,2.087,0.316%,23.884,255.55,44.565,10643.19
Homepage [0],7786,3,2,21,1.121,0.113%,23.935,239.304,26.041,9768.526
Browse (Green tea),7793,9,7,48,2.459,0.459%,23.513,2529.124,26.9,106558.779
Add to cart (Green tea),7570,17,13,66,4.076,0.395%,24.719,742.484,62.675,31251.166
View cart (Green tea),7581,14,3,51,3.383,0.379%,23.471,728.145,29.765,30241.164
Browse (Herbal tea),7614,10,1,71,2.599,0.314%,24.181,3627.202,29.474,153187.861
Add to cart (Herbal tea),7482,17,13,78,4.286,0.391%,23.38,766.612,65.375,31942.258
View cart (Herbal tea),7673,14,11,67,3.635,0.494%,23.463,695.512,31.069,30823.199
Browse (White tea),7654,10,6,36,2.349,0.001%,24.957,2776.908,33.313,114058.072
Add to cart (White tea),7683,20,14,73,4.166,0.454%,24.109,763.062,70.733,32642.412
View cart (White tea),7627,15,11,60,3.864,0.435%,23.749,767.16,35.836,31398.186
"Browse (Black tea, 1) [0]",7747,9,6,49,2.523,0.236%,23.548,2276.265,35.887,99287.97
"Browse (Black tea, 2)",7721,9,6,48,2.401,0.159%,23.51,2382.129,36.321,103730.571
"Browse (Black tea, 3)",7507,9,6,35,2.53,0.192%,23.902,2458.768,36.669,105364.7
"Browse (Black tea, 1) [1]",7523,10,7,39,2.466,0.273%,23.603,2259.57,34.31,99298.442
Add to cart (Black tea),7642,19,14,72,4.514,0.469%,24.049,778.081,76.833,33319.103
View cart (Black tea),7397,18,12,63,3.737,0.282%,24.6,760.317,37.461,31961.793
Checkout,7480,9,5,44,2.125,0.324%,24.556,322.941,83.475,14333.978
Order,7617,3,2,20,1.027,0.405%,23.453,296.706,37.26,13037.59
Add order details,7562,29,11,95,5.049,0.250%,24.282,256.287,68.337,10662.323
Homepage [1],7447,3,2,23,1.128,0.239%,24.529,237.351,25.902,9780.509
Logout,7567,5,3,27,1.413,0.033%,24.479,258.74,56.151,11019.902
Homepage [2],7459,3,2,21,1.122,0.022%,24.158,228.008,26.214,9553.132
TOTAL,181967,11,1,90,7.071,0.368%,581.282,26909.258,995.223,47350.282
