Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,7885,3,2,23,1.153,0.000%,25.686,257.553,12.298,10299.004
Login Action,7879,10,7,43,1.911,0.013%,25.683,266.133,47.954,10643.19
Homepage [0],7878,3,2,20,1.082,0.000%,25.689,244.315,27.426,9768.526
Browse (Green tea),7870,9,6,46,2.275,0.000%,25.689,2665.101,27.956,106558.779
Add to cart (Green tea),7863,16,12,61,3.711,0.013%,25.676,781.189,65.071,31251.166
View cart (Green tea),7862,13,3,49,3.246,0.026%,25.675,755.918,31.216,30241.164
Browse (Herbal tea),7843,9,1,65,2.387,0.013%,25.626,3821.83,31.156,153187.861
Add to cart (Herbal tea),7837,17,12,72,3.934,0.026%,25.61,796.428,71.081,31942.258
View cart (Herbal tea),7835,14,10,64,3.428,0.000%,25.605,768.379,34.145,30823.199
Browse (White tea),7818,9,6,34,2.174,0.000%,25.611,2844.003,34.145,114058.072
Add to cart (White tea),7807,18,13,69,3.944,0.000%,25.618,814.125,77.07,32642.412
View cart (White tea),7807,15,10,59,3.54,0.000%,25.617,783.09,37.105,31398.186
"Browse (Black tea, 1) [0]",7799,9,6,45,2.387,0.013%,25.609,2475.47,37.085,99287.97
"Browse (Black tea, 2)",7791,9,6,44,2.265,0.000%,25.592,2584.578,37.615,103730.571
"Browse (Black tea, 3)",7780,9,6,33,2.306,0.000%,25.577,2623.715,37.595,105364.7
"Browse (Black tea, 1) [1]",7774,9,6,36,2.316,0.000%,25.561,2471.15,37.565,99298.442
Add to cart (Black tea),7769,18,13,68,4.156,0.039%,25.551,828.856,82.679,33319.103
View cart (Black tea),7765,16,11,61,3.54,0.026%,25.54,794.736,39.905,31961.793
Checkout,7710,9,5,41,2.073,0.013%,25.507,355.952,86.388,14333.978
Order,7709,3,2,19,1.001,0.000%,25.506,323.753,39.325,13037.59
Add order details,7702,28,10,87,4.733,0.013%,25.501,264.719,75.62,10662.323
Homepage [1],7701,3,2,21,1.082,0.000%,25.51,242.912,27.376,9780.509
Logout,7684,5,3,25,1.385,0.026%,25.49,273.478,59.222,11019.902
Homepage [2],7682,3,2,20,1.052,0.000%,25.488,237.059,26.826,9553.132
TOTAL,187051,11,1,87,6.735,0.009%,609.282,28087.418,1074.337,47350.282
