Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,21072,64,2,150,18.071,0.033%,71.124,619.089,10.164,9213.05
List Products,21065,124,5,332,32.806,0.038%,71.103,7964.506,11.911,118560.678
Look at Product,21056,224,13,460,81.249,0.129%,71.075,7161.588,11.072,106650.173
Login,21029,101,8,211,25.504,0.033%,70.988,691.832,29.161,10315.454
Add Product to Cart,21022,126,4,243,30.25,0.043%,70.966,720.879,28.529,10751.755
Add n Products to Cart,314244,126,1,305,29.855,0.039%,1060.862,10776.656,426.57,10752.157
Checkout 1,20891,95,4,189,25.018,0.024%,70.558,702.226,42.681,10534.207
Checkout 5,20886,95,4,223,24.825,0.034%,70.543,702.029,50.753,10533.605
Checkout 15,20879,95,5,174,24.865,0.038%,70.52,701.781,69.434,10533.203
TOTAL,482144,122,1,460,42.866,0.041%,1627.387,30036.353,680.099,19535.534
